time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.014,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,-0,1.56112e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-7.67461,-7.67461,3.8373
0.019,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.01,0,0,0,0,0,0,0,0.01,0,0,-7.67461,-7.67461,3.8373
0.024,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.32228e-32,1.56112e-28,0,1,1,1,0,0.015,0,0,0,0,0,0,0,0.015,0,0,-7.67461,-7.67461,3.8373
0.028,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,4.16965e-32,1.56112e-28,0,1,1,1,0,0.019,0,0,0,0,0,0,0,0.019,0,0,-7.67461,-7.67461,3.8373
0.033,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.23485e-32,1.56112e-28,0,1,1,1,0,0.024,0,0,0,0,0,0,0,0.024,0,0,-7.67461,-7.67461,3.8373
0.038,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.0887e-15,-1.89126e-14,0,1,1,1,0,0.029,0,0,0,0,0,-1.84475e-13,0,0.029,0,0,-7.67461,-7.67461,3.8373
0.042,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153243,0,0,3.18644e-15,-3.17553e-14,0,1,0,1,0,0,0,0,0,0,0,-3.03135e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.047,0.36,0.5,0,1.92785e-05,0,1.92785e-05,0.00032021,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153217,0,0,1.91824e-07,3.18615e-06,0,1,0,1,0,0,0,0,0,0,0,3.1078e-05,0,0,0,0,-8.12218,-8.12218,4.06109
0.052,0.36,0.5,0,-0.000180097,0,-0.000180097,-0.00321703,0.000365723,0.00708411,0.0373482,0.0373482,-0.0369825,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0151764,0.0153203,0,0,-1.60208e-06,-2.88556e-05,0,1,1,1,0,0.005,0,0,0,0,0,-0.000282976,0,0.005,0,0,-7.38709,-7.38709,3.69355
0.057,0.36,0.5,0,-0.000756498,0,-0.000756498,-0.0103013,0.000365723,0.00708411,0.0373482,0.0373482,-0.0369825,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0151764,0.0153188,0,0,-9.11342e-06,-0.000131068,0,1,1,1,0,0.01,1.43149e-06,0,0,0,0,-0.00126616,1.43149e-06,0.01,0,0,-7.723,-7.723,3.8615
0.061,0.36,0.5,0,-0.00168628,0,-0.00168628,-0.0203744,0.00289683,0.0774068,0.0373482,0.0373482,-0.0344514,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0141382,0.0153094,0,0,-2.24772e-05,-0.000292368,0,1,0,1,0,0,0,0,0,0,0,-0.00279769,0,0,0,0,-4.06388,-4.06388,2.03194
0.066,0.36,0.5,0,-0.00222117,0,-0.00222117,-0.0275586,0.00289683,0.0774068,0.0373482,0.0373482,-0.0344514,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0141382,0.0152978,0,0,-4.43546e-05,-0.000563672,0,1,0,1,0,0,0,0,0,0,0,-0.00530757,0,0,0,0,-4.40422,-4.40422,2.20211
0.071,0.36,0.5,0,-0.00346888,0,-0.00346888,-0.0408409,0.0295037,0.452911,0.0373482,0.0373482,-0.00784454,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00322124,0.0151776,0,0,-7.84292e-05,-0.000964437,0,1,0,1,0,0,0,0,0,0,0,-0.00895783,0,0,0,0,19.7478,19.7478,-9.87388
0.076,0.36,0.5,0,-0.00535839,0,-0.00535839,-0.0599208,0.0295037,0.452911,0.0373482,0.0373482,-0.00784454,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00322124,0.0150586,0,0,-0.000130966,-0.00155106,0,1,0,1,0,0,0,0,0,0,0,-0.014243,0,0,0,0,18.841,18.841,-9.4205
0.08,0.36,0.5,0,-0.00535839,0,-0.00535839,-0.0599208,0.038543,0.354597,0.0373482,0.0373482,0.00119478,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,-0.000490773,0.0149347,0,0,-0.000172618,-0.00201616,0,1,0,1,0,0,0,0,0,0,0,-0.0182436,0,0,0,0,15.6413,15.6413,-7.82067
0.085,0.36,0.5,0,-0.00712097,0,-0.00712097,-0.0717325,0.038543,0.354597,0.0373482,0.0373482,0.00119478,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,-0.000490773,0.0147812,0,0,-0.000241755,-0.00270985,0,1,0,1,0,0,0,0,0,0,0,-0.0241202,0,0,0,0,15.0763,15.0763,-7.53817
0.09,0.36,0.5,0,-0.00809352,0,-0.00809352,-0.0725801,0.038543,0.354597,0.0373482,0.0373482,0.00119478,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,-0.000490773,0.0146293,0,0,-0.000319882,-0.00340507,0,1,0,1,0,0,0,0,0,0,0,-0.0297251,0,0,0,0,15.0306,15.0306,-7.5153
0.095,0.36,0.5,0,-0.00718683,0,-0.00718683,-0.0517546,0.0302712,0.105251,0.0373482,0.0373482,-0.00707706,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00290616,0.0145126,0,0,-0.000388209,-0.00388615,0,1,0,1,0,0,0,0,0,0,0,-0.032968,0,0,0,0,1.48741,1.48741,-0.743707
0.1,0.36,0.5,0,-0.00426824,0,-0.00426824,-0.0127768,0.0302712,0.105251,0.0373482,0.0373482,-0.00707706,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00290616,0.0143972,0,0,-0.000426816,-0.00397462,0,1,0,1,0,0,0,0,0,0,0,-0.032223,0,0,0,0,3.33402,3.33402,-1.66701
0.104,0.36,0.5,0,-0.000603885,0,-0.000603885,0.0241452,0.0202914,-0.102908,0.0373482,0.0373482,-0.0170569,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00700226,0.0143382,0,0,-0.000428227,-0.00375056,0,1,0,1,0,0,0,0,0,0,0,-0.0287631,0,0,0,0,-7.66936,-7.66936,3.83468
0.109,0.36,0.5,0,0.0031899,0,0.0031899,0.0614768,0.0202914,-0.102908,0.0373482,0.0373482,-0.0170569,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.00700226,0.0142652,0,0,-0.000392226,-0.00310153,0,1,0,1,0,0,0,0,0,0,0,-0.0210297,0,0,0,0,-5.89459,-5.89459,2.9473
0.114,0.36,0.5,0,0.00632003,0,0.00632003,0.0845765,0.0106938,-0.255523,0.0373482,0.0373482,-0.0266544,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0109399,0.0142321,0,0,-0.000325438,-0.00222912,0,1,0,1,0,0,0,0,0,0,0,-0.0114944,0,0,0,0,-14.6141,-14.6141,7.30704
0.119,0.36,0.5,0,0.00840503,0,0.00840503,0.0973549,0.0106938,-0.255523,0.0373482,0.0373482,-0.0266544,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0109399,0.0141994,0,0,-0.000238568,-0.00123824,0,1,0,1,0,0,0,0,0,0,0,-0.00126873,0,0,0,0,-14.0018,-14.0018,7.00088
0.124,0.36,0.5,0,0.00891865,0,0.00891865,0.0895659,0.00235362,-0.35044,0.0373482,0.0373482,-0.0349946,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.014361,0.014201,0,0,-0.000147452,-0.000334727,0,1,0,1,0,0,0,0,0,0,0,0.00760615,0,0,0,0,-20.9603,-20,10
0.128,0.36,0.5,0,0.00757391,0,0.00757391,0.0644904,0.00235362,-0.35044,0.0373482,0.0373482,-0.0349946,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.014361,0.0142023,0,0,-8.5928e-05,0.000181805,0,1,0,1,0,0,0,0,0,0,0,0.0123713,0,0,0,0,-22.145,-20,10
0.133,0.36,0.5,0,0.00406224,0,0.00406224,0.0164364,-0.0042062,-0.390925,0.0373482,0.0373482,-0.0415544,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0170517,0.0142306,0,0,-4.4653e-05,0.00034354,0,1,0,1,0,0,0,0,0,0,0,0.0133455,0,0,0,0,-27.8515,-20,10
0.138,0.36,0.5,0,-0.00176644,0,-0.00176644,-0.0516676,-0.0042062,-0.390925,0.0373482,0.0373482,-0.0415544,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0170517,0.0142587,0,0,-6.17851e-05,-0.000173979,0,1,0,1,0,0,0,0,0,0,0,0.0076467,0,0,0,0,-31.0824,-20,10
0.143,0.36,0.5,0,-0.00974199,0,-0.00974199,-0.137171,-0.00879411,-0.388273,0.0373482,0.0373482,-0.0461423,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0189336,0.0143052,0,0,-0.000158105,-0.00153712,0,1,0,1,0,0,0,0,0,0,0,-0.00602244,0,0,0,0,-35.9492,-20,10
