time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,-0,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,6.21957e-33,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,2.16911e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,4.47754e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,6.92969e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.1727,-12.1727,6.08636
0.036,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.48737e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,1.71734e-06,3.92191e-05,0,1,0,1,0,0,0,0,-11.9867,-11.9867,5.99337
0.04,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.48737e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,3.07889e-06,7.03133e-05,0,1,0,1,0,0,0,0,-11.9867,-11.9867,5.99337
0.045,0.36,0.5,0,5.58429e-05,0,5.58429e-05,1.14777e-05,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243241,0,0,3.60391e-06,6.97279e-05,0,1,0,1,0,0,0,0,-10.9672,-10.9672,5.48361
0.05,0.36,0.5,0,-0.000660259,0,-0.000660259,-0.00941395,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243218,0,0,-3.00164e-06,-2.46363e-05,0,1,0,1,0,0,0,0,-11.4138,-11.4138,5.70691
0.055,0.36,0.5,0,-0.00190477,0,-0.00190477,-0.0233838,0.00439785,0.129479,0.0592381,0.0592381,-0.0548403,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0225225,0.0243039,0,0,-2.19245e-05,-0.000257064,0,1,0,1,0,0,0,0,-5.71759,-5.71759,2.85879
0.059,0.36,0.5,0,-0.00365671,0,-0.00365671,-0.0417692,0.00439785,0.129479,0.0592381,0.0592381,-0.0548403,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0225225,0.0242897,0,0,-5.08868e-05,-0.000587836,0,1,0,1,0,0,0,0,-6.59092,-6.59092,3.29546
0.064,0.36,0.5,0,-0.00574765,0,-0.00574765,-0.0614146,0.0123286,0.274421,0.0592381,0.0592381,-0.0469095,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0192693,0.0242398,0,0,-0.000107571,-0.00119307,0,1,0,1,0,0,0,0,1.55986,1.55986,-0.77993
0.069,0.36,0.5,0,-0.00736247,0,-0.00736247,-0.0771296,0.0123286,0.274421,0.0592381,0.0592381,-0.0469095,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0192693,0.0241903,0,0,-0.000179758,-0.00194865,0,1,0,1,0,0,0,0,0.812653,0.812653,-0.406327
0.074,0.36,0.5,0,-0.00949659,0,-0.00949659,-0.0956733,0.0435033,0.681596,0.0592381,0.0592381,-0.0157348,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0064712,0.0240491,0,0,-0.000253995,-0.00269546,0,1,0,1,0,0,0,0,27.2801,20,-10
0.078,0.36,0.5,0,-0.0120099,0,-0.0120099,-0.117265,0.0435033,0.681596,0.0592381,0.0592381,-0.0157348,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0064712,0.0238742,0,0,-0.000370969,-0.00383545,0,1,0,1,0,0,0,0,26.2516,20,-10
0.083,0.36,0.5,0,-0.0143058,0,-0.0143058,-0.1316,0.0553176,0.58897,0.0592381,0.0592381,-0.00392049,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00161337,0.0236527,0,0,-0.000509623,-0.00510673,0,1,0,1,0,0,0,0,23.2281,20,-10
0.088,0.36,0.5,0,-0.0158292,0,-0.0158292,-0.134674,0.0553176,0.58897,0.0592381,0.0592381,-0.00392049,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00161337,0.0234334,0,0,-0.000662055,-0.00639594,0,1,0,1,0,0,0,0,23.0745,20,-10
0.093,0.36,0.5,0,-0.0150737,0,-0.0150737,-0.109848,0.0490171,0.326178,0.0592381,0.0592381,-0.010221,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00420475,0.0232421,0,0,-0.000805453,-0.0074253,0,1,0,1,0,0,0,0,9.43156,9.43156,-4.71578
0.097,0.36,0.5,0,-0.0116777,0,-0.0116777,-0.0606753,0.0490171,0.326178,0.0592381,0.0592381,-0.010221,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00420475,0.0230904,0,0,-0.000892085,-0.0078496,0,1,0,1,0,0,0,0,11.7594,11.7594,-5.87969
0.102,0.36,0.5,0,-0.00668629,0,-0.00668629,-0.00420496,0.0402695,0.0920546,0.0592381,0.0592381,-0.0189686,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00779995,0.0229383,0,0,-0.000949738,-0.00781334,0,1,0,1,0,0,0,0,0.598909,0.598909,-0.299454
0.107,0.36,0.5,0,-0.000586014,0,-0.000586014,0.0614469,0.0402695,0.0920546,0.0592381,0.0592381,-0.0189686,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00779995,0.0227876,0,0,-0.000946119,-0.00712419,0,1,0,1,0,0,0,0,3.71651,3.71651,-1.85826
0.112,0.36,0.5,0,0.00576855,0,0.00576855,0.12026,0.0310415,-0.0973641,0.0592381,0.0592381,-0.0281966,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0115899,0.0226762,0,0,-0.000879307,-0.00585669,0,1,0,1,0,0,0,0,-5.12482,-5.12482,2.56241
0.117,0.36,0.5,0,0.0120252,0,0.0120252,0.17687,0.0310415,-0.0973641,0.0592381,0.0592381,-0.0281966,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0115899,0.0225659,0,0,-0.000750905,-0.00403853,0,1,0,1,0,0,0,0,-2.43046,-2.43046,1.21523
0.122,0.36,0.5,0,0.0176461,0,0.0176461,0.219721,0.022261,-0.237234,0.0592381,0.0592381,-0.0369771,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.015194,0.0224926,0,0,-0.000567851,-0.00181208,0,1,0,1,0,0,0,0,-9.38452,-9.38452,4.69226
0.126,0.36,0.5,0,0.0224328,0,0.0224328,0.253802,0.022261,-0.237234,0.0592381,0.0592381,-0.0369771,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.015194,0.0224344,0,0,-0.00038458,0.000224673,0,1,0,1,0,0,0,0,-7.75619,-7.75619,3.8781
0.131,0.36,0.5,0,0.0260313,0,0.0260313,0.270915,0.0144452,-0.329527,0.0592381,0.0592381,-0.0447929,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0184009,0.0223943,0,0,-0.000121738,0.00291809,0,1,0,1,0,0,0,0,-13.2846,-13.2846,6.6423
0.136,0.36,0.5,0,0.028298,0,0.028298,0.275147,0.0144452,-0.329527,0.0592381,0.0592381,-0.0447929,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0184009,0.0223545,0,0,0.000161043,0.00562681,0,1,0,1,0,0,0,0,-13.0721,-13.0721,6.53606
0.141,0.36,0.5,0,0.0289751,0,0.0289751,0.260782,0.00790677,-0.378225,0.0592381,0.0592381,-0.0513314,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0210832,0.0223419,0,0,0.000447747,0.00816564,0,1,0,1,0,0,0,0,-17.5904,-17.5904,8.79521
0.146,0.36,0.5,0,0.0279109,0,0.0279109,0.230376,0.00790677,-0.378225,0.0592381,0.0592381,-0.0513314,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0210832,0.0223294,0,0,0.00072101,0.0103767,0,1,0,1,0,0,0,0,-19.0235,-19.0235,9.51173
0.151,0.36,0.5,0,0.0248859,0,0.0248859,0.180052,0.00289428,-0.386922,0.0592381,0.0592381,-0.0563439,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0231392,0.0223374,0,0,0.000961455,0.012065,0,1,0,1,0,0,0,0,-22.8804,-20,10
0.156,0.36,0.5,0,0.0196982,0,0.0196982,0.110514,0.00289428,-0.386922,0.0592381,0.0592381,-0.0563439,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0231392,0.0223454,0,0,0.00114789,0.0130446,0,1,0,1,0,0,0,0,-26.1747,-20,10
0.161,0.36,0.5,0,0.0123563,0,0.0123563,0.0230492,-0.000370248,-0.360502,0.0592381,0.0592381,-0.0596084,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0244783,0.0223666,0,0,0.00125941,0.0131441,0,1,0,1,0,0,0,0,-29.6351,-20,10
0.166,0.36,0.5,0,0.00296885,0,0.00296885,-0.0798666,-0.000370248,-0.360502,0.0592381,0.0592381,-0.0596084,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0244783,0.0223835,0,0,0.00127304,0.012403,0,1,0,1,0,0,0,0,-34.5212,-20,10
0.17,0.36,0.5,0,-0.00753115,0,-0.00753115,-0.180873,-0.00214815,-0.32148,0.0592381,0.0592381,-0.0613863,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0252075,0.0224116,0,0,0.00118543,0.0104799,0,1,0,1,0,0,0,0,-37.6826,-20,10
0.175,0.36,0.5,0,-0.00753115,0,-0.00753115,-0.180873,-0.00214815,-0.32148,0.0592381,0.0592381,-0.0613863,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0252075,0.0224394,0,0,0.0010987,0.00857587,0,1,0,1,0,0,0,0,-37.6826,-20,10
0.18,0.36,0.5,0,-0.0180312,0,-0.0180312,-0.27683,-0.00214815,-0.32148,0.0592381,0.0592381,-0.0613863,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0252075,0.0224669,0,0,0.000908356,0.00573603,0,1,0,1,0,0,0,0,-42.249,-20,10
0.185,0.36,0.5,0,-0.0285312,0,-0.0285312,-0.367988,-0.00369761,-0.289761,0.0592381,0.0592381,-0.0629357,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0258431,0.0225005,0,0,0.000615428,0.00201742,0,1,0,1,0,0,0,0,-45.2772,-20,10
0.19,0.36,0.5,0,-0.0390312,0,-0.0390312,-0.454589,-0.00369761,-0.289761,0.0592381,0.0592381,-0.0629357,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0258431,0.0225338,0,0,0.000220938,-0.00252589,0,1,0,1,0,0,0,0,-49.4047,-20,10
0.195,0.36,0.5,0,-0.0495312,0,-0.0495312,-0.536859,-0.00524235,-0.264001,0.0592381,0.0592381,-0.0644805,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0264767,0.022573,0,0,-0.000274104,-0.0078426,0,1,0,1,0,0,0,0,-52.3214,-20,10
