time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.014,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,-0,1.56112e-28,0,1,1,1,0,0.005,0,0,0,0,0,0,0,0.005,0,0,-7.67461,-7.67461,3.8373
0.019,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.76671e-33,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-7.67461,-7.67461,3.8373
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.0144e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-7.67461,-7.67461,3.8373
0.028,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,4.32437e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-7.67461,-7.67461,3.8373
0.033,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.38802e-32,1.56112e-28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-7.67461,-7.67461,3.8373
0.037,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.04093e-18,-2.48737e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,1.67263e-15,-1.51452e-14,0,1,0,1,0,0,0,0,0,0,0,-1.48463e-13,0,0,0,0,-7.67461,-7.67461,3.8373
0.042,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153238,0,0,3.04757e-15,-3.12201e-14,0,1,0,1,0,0,0,0,0,0,0,-2.98019e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.047,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153212,0,0,4.58333e-15,-4.45764e-14,0,1,0,1,0,0,0,0,0,0,0,-4.13763e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.051,0.36,0.5,0,1.74995e-13,0,1.74995e-13,-1.12854e-12,-5.03419e-05,-0.0238295,0.0373482,0.0373482,-0.0373986,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015347,0.0153214,0,0,5.94119e-15,-5.32135e-14,0,1,0,1,0,0,0,0,0,0,0,-4.82206e-13,0,0,0,0,-8.91071,-8.91071,4.45535
0.056,0.36,0.5,0,1.94274e-05,0,1.94274e-05,0.000322717,-5.03419e-05,-0.0238295,0.0373482,0.0373482,-0.0373986,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015347,0.0153216,0,0,1.93306e-07,3.21109e-06,0,1,0,1,0,0,0,0,0,0,0,3.13213e-05,0,0,0,0,-8.89545,-8.89545,4.44772
0.061,0.36,0.5,0,-0.000203268,0,-0.000203268,-0.00360342,-0.000426801,-0.00237179,0.0373482,0.0373482,-0.037775,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0155015,0.0153234,0,0,-1.83117e-06,-3.26755e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000320248,0,0,0,0,-8.05462,-8.05462,4.02731
0.065,0.36,0.5,0,-0.000203268,0,-0.000203268,-0.00360342,-0.000426801,-0.00237179,0.0373482,0.0373482,-0.037775,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0155015,0.0153249,0,0,-3.43624e-06,-6.11275e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000586596,0,0,0,0,-8.05462,-8.05462,4.02731
0.07,0.36,0.5,0,-0.000851107,0,-0.000851107,-0.0115328,-0.000426801,-0.00237179,0.0373482,0.0373482,-0.037775,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0155015,0.0153266,0,0,-1.18707e-05,-0.000175272,0,1,0,1,0,0,0,0,0,0,0,-0.00167137,0,0,0,0,-8.43061,-8.43061,4.2153
