time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-7.89719e-18,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.5471,-12.5471,6.27354
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-7.89719e-18,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,7.76671e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.5471,-12.5471,6.27354
0.021,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,2.0144e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.5471,-12.5471,6.27354
0.026,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.49216e-17,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,4.32437e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.5471,-12.5471,6.27354
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.48737e-17,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,7.38802e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.5471,-12.5471,6.27354
0.036,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.48737e-17,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,1.37524e-06,3.14067e-05,0,1,0,0,0,0,0,0,-12.3611,-12.3611,6.18055
0.04,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.48737e-17,0.06106,0.06106,-0.06106,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,3.07889e-06,7.03133e-05,0,1,0,0,0,0,0,0,-12.3611,-12.3611,6.18055
0.045,0.36,0.5,0,4.42782e-05,0,4.42782e-05,-0.000179643,0.000587898,0.0228524,0.06106,0.06106,-0.0604721,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0248353,0.025074,0,0,3.48883e-06,6.78262e-05,0,1,0,0,0,0,0,0,-11.2589,-11.2589,5.62947
0.05,0.36,0.5,0,-0.000702127,0,-0.000702127,-0.00997249,0.000587898,0.0228524,0.06106,0.06106,-0.0604721,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0248353,0.0250716,0,0,-3.53216e-06,-3.20766e-05,0,1,0,0,0,0,0,0,-11.723,-11.723,5.86148
0.055,0.36,0.5,0,-0.00199269,0,-0.00199269,-0.0244302,0.00460051,0.13537,0.06106,0.06106,-0.0564595,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0231894,0.0250529,0,0,-2.33246e-05,-0.000274842,0,1,0,0,0,0,0,0,-5.79692,-5.79692,2.89846
0.059,0.36,0.5,0,-0.00380491,0,-0.00380491,-0.0434236,0.00460051,0.13537,0.06106,0.06106,-0.0564595,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0231894,0.025038,0,0,-5.34566e-05,-0.000618655,0,1,0,0,0,0,0,0,-6.69914,-6.69914,3.34957
0.064,0.36,0.5,0,-0.00595249,0,-0.00595249,-0.0635631,0.0129109,0.288428,0.06106,0.06106,-0.0481491,0,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0197804,0.0249857,0,0,-0.000112153,-0.00124496,0,1,0,0,0,0,0,0,1.9236,1.9236,-0.961802
