time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-7.89719e-18,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,-0,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-7.89719e-18,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,7.76671e-33,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.021,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,2.0144e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.026,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.49216e-17,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,4.32437e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.48737e-17,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,7.38802e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.035,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.48737e-17,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,9.81698e-32,1.56112e-28,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.04,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.48737e-17,0.06106,0.06106,-0.06106,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0250764,0.0250764,0,0,2.0887e-15,-1.89126e-14,0,1,0,1,0,0,0,0,-12.5471,-12.5471,6.27354
0.045,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.06106,0.06106,-0.0604179,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.024813,0.0250738,0,0,3.4595e-15,-3.495e-14,0,1,0,1,0,0,0,0,-13.0098,-13.0098,6.5049
0.05,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.06106,0.06106,-0.0604179,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.024813,0.0250712,0,0,4.99116e-15,-4.82692e-14,0,1,0,1,0,0,0,0,-13.0098,-13.0098,6.5049
0.055,0.36,0.5,0,1.74995e-13,0,1.74995e-13,-1.12854e-12,-5.03419e-05,-0.0238295,0.06106,0.06106,-0.0611104,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.025097,0.0250714,0,0,6.34577e-15,-5.68769e-14,0,1,0,1,0,0,0,0,-13.7832,-13.7832,6.89159
0.059,0.36,0.5,0,1.92672e-13,0,1.92672e-13,-8.95033e-13,-5.03419e-05,-0.0238295,0.06106,0.06106,-0.0611104,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.025097,0.0250716,0,0,8.19975e-15,-6.52167e-14,0,1,0,1,0,0,0,0,-13.7832,-13.7832,6.89159
0.064,0.36,0.5,0,1.95138e-05,0,1.95138e-05,0.000324169,-0.000941464,-0.0395434,0.06106,0.06106,-0.0620015,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0254626,0.0250755,0,0,1.94165e-07,3.22554e-06,0,1,0,1,0,0,0,0,-14.7593,-14.7593,7.37964
0.069,0.36,0.5,0,-0.000352695,0,-0.000352695,-0.0060853,-0.000941464,-0.0395434,0.06106,0.06106,-0.0620015,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0254626,0.0250794,0,0,-3.31715e-06,-5.73563e-05,0,1,0,1,0,0,0,0,-15.0623,-15.0623,7.53113
0.073,0.36,0.5,0,-0.00142482,0,-0.00142482,-0.019296,0.00129077,0.0623386,0.06106,0.06106,-0.0597693,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.024547,0.0250751,0,0,-1.46438e-05,-0.000210651,0,1,0,1,0,0,0,0,-9.98928,-9.98928,4.99464
0.078,0.36,0.5,0,-0.00247712,0,-0.00247712,-0.0331592,0.00129077,0.0623386,0.06106,0.06106,-0.0597693,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.024547,0.0250699,0,0,-3.91459e-05,-0.000538495,0,1,0,1,0,0,0,0,-10.6461,-10.6461,5.32307
0.083,0.36,0.5,0,-0.00456179,0,-0.00456179,-0.0556945,0.0306228,0.514035,0.06106,0.06106,-0.0304373,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0125118,0.0249449,0,0,-8.41469e-05,-0.00108731,0,1,0,1,0,0,0,0,17.5458,17.5458,-8.77288
0.087,0.36,0.5,0,-0.00758963,0,-0.00758963,-0.0866516,0.0306228,0.514035,0.06106,0.06106,-0.0304373,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0125118,0.0248459,0,0,-0.000143951,-0.00176909,0,1,0,1,0,0,0,0,16.0748,16.0748,-8.03739
0.092,0.36,0.5,0,-0.010671,0,-0.010671,-0.1107,0.0444945,0.503039,0.06106,0.06106,-0.0165655,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00681386,0.0246664,0,0,-0.000248697,-0.00285297,0,1,0,1,0,0,0,0,17.2124,17.2124,-8.60622
0.097,0.36,0.5,0,-0.0130731,0,-0.0130731,-0.124752,0.0444945,0.503039,0.06106,0.06106,-0.0165655,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00681386,0.0244888,0,0,-0.000376302,-0.00406589,0,1,0,1,0,0,0,0,16.5384,16.5384,-8.26919
0.102,0.36,0.5,0,-0.0134853,0,-0.0134853,-0.113231,0.0419624,0.331858,0.06106,0.06106,-0.0190976,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00785439,0.0243233,0,0,-0.000506738,-0.00515211,0,1,0,1,0,0,0,0,7.75074,7.75074,-3.87537
0.107,0.36,0.5,0,-0.0115859,0,-0.0115859,-0.0802519,0.0419624,0.331858,0.06106,0.06106,-0.0190976,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00785439,0.0241594,0,0,-0.000616978,-0.00589936,0,1,0,1,0,0,0,0,9.30966,9.30966,-4.65483
0.111,0.36,0.5,0,-0.00828894,0,-0.00828894,-0.0401219,0.0372133,0.172371,0.06106,0.06106,-0.0238467,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00980543,0.0240451,0,0,-0.000678109,-0.00617205,0,1,0,1,0,0,0,0,2.03299,2.03299,-1.0165
0.116,0.36,0.5,0,-0.00403563,0,-0.00403563,0.00811281,0.0372133,0.172371,0.06106,0.06106,-0.0238467,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.00980543,0.0239034,0,0,-0.000711517,-0.00602992,0,1,0,1,0,0,0,0,4.32211,4.32211,-2.16105
0.121,0.36,0.5,0,0.000599164,0,0.000599164,0.0537076,0.0319059,0.0394336,0.06106,0.06106,-0.0291542,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.011985,0.0237848,0,0,-0.000698475,-0.00543552,0,1,0,1,0,0,0,0,-1.43904,-1.43904,0.719521
0.126,0.36,0.5,0,0.00538787,0,0.00538787,0.0997515,0.0319059,0.0394336,0.06106,0.06106,-0.0291542,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.011985,0.0236674,0,0,-0.000637915,-0.00438889,0,1,0,1,0,0,0,0,0.750581,0.750581,-0.37529
0.131,0.36,0.5,0,0.00997502,0,0.00997502,0.138434,0.0266897,-0.0631672,0.06106,0.06106,-0.0343703,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0141264,0.0235724,0,0,-0.000532315,-0.00296778,0,1,0,1,0,0,0,0,-3.7559,-3.7559,1.87795
0.136,0.36,0.5,0,0.014248,0,0.014248,0.173321,0.0266897,-0.0631672,0.06106,0.06106,-0.0343703,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0141264,0.0234784,0,0,-0.000385247,-0.00121368,0,1,0,1,0,0,0,0,-2.09288,-2.09288,1.04644
0.14,0.36,0.5,0,0.0179819,0,0.0179819,0.19881,0.0218983,-0.136586,0.06106,0.06106,-0.0391617,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0160929,0.0234196,0,0,-0.000238896,0.000380125,0,1,0,1,0,0,0,0,-5.63522,-5.63522,2.81761
0.145,0.36,0.5,0,0.0179819,0,0.0179819,0.19881,0.0218983,-0.136586,0.06106,0.06106,-0.0391617,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0160929,0.0233467,0,0,-5.75964e-05,0.00235453,0,1,0,1,0,0,0,0,-5.63522,-5.63522,2.81761
0.15,0.36,0.5,0,0.021113,0,0.021113,0.21808,0.0218983,-0.136586,0.06106,0.06106,-0.0391617,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0160929,0.0232745,0,0,0.000153055,0.00450104,0,1,0,1,0,0,0,0,-4.71187,-4.71187,2.35593
0.155,0.36,0.5,0,0.023488,0,0.023488,0.227151,0.0177131,-0.183647,0.06106,0.06106,-0.0433469,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0178102,0.0232201,0,0,0.000385241,0.00671644,0,1,0,1,0,0,0,0,-7.55246,-7.55246,3.77623
0.16,0.36,0.5,0,0.024978,0,0.024978,0.227192,0.0177131,-0.183647,0.06106,0.06106,-0.0433469,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0178102,0.0231663,0,0,0.000629943,0.00891021,0,1,0,1,0,0,0,0,-7.54134,-7.54134,3.77067
0.165,0.36,0.5,0,0.0257196,0,0.0257196,0.220477,0.014249,-0.209184,0.06106,0.06106,-0.046811,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0192314,0.0231272,0,0,0.000879589,0.0110153,0,1,0,1,0,0,0,0,-9.87725,-9.87725,4.93863
0.169,0.36,0.5,0,0.0255896,0,0.0255896,0.204126,0.014249,-0.209184,0.06106,0.06106,-0.046811,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0192314,0.0230961,0,0,0.00107648,0.0125541,0,1,0,1,0,0,0,0,-10.6452,-10.6452,5.32258
0.174,0.36,0.5,0,0.0243203,0,0.0243203,0.176292,0.0115446,-0.21254,0.06106,0.06106,-0.0495154,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0203409,0.0230687,0,0,0.00130776,0.0141833,0,1,0,1,0,0,0,0,-12.6871,-12.6871,6.34357
0.179,0.36,0.5,0,0.0218138,0,0.0218138,0.137446,0.0115446,-0.21254,0.06106,0.06106,-0.0495154,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0203409,0.0230416,0,0,0.0015118,0.0154098,0,1,0,1,0,0,0,0,-14.5251,-14.5251,7.26253
0.184,0.36,0.5,0,0.0179594,0,0.0179594,0.0863784,0.0098399,-0.195147,0.06106,0.06106,-0.0512201,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0210402,0.0230216,0,0,0.00167546,0.0161159,0,1,0,1,0,0,0,0,-16.4002,-16.4002,8.20011
0.189,0.36,0.5,0,0.0126055,0,0.0126055,0.0223418,0.0098399,-0.195147,0.06106,0.06106,-0.0512201,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0210402,0.0230019,0,0,0.00178421,0.0161779,0,1,0,1,0,0,0,0,-19.4374,-19.4374,9.71872
0.194,0.36,0.5,0,0.0056196,0,0.0056196,-0.0553202,0.00931423,-0.15699,0.06106,0.06106,-0.0517458,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0212558,0.0229846,0,0,0.00182237,0.0154664,0,1,0,1,0,0,0,0,-21.2692,-20,10
0.199,0.36,0.5,0,-0.00321474,0,-0.00321474,-0.14865,0.00931423,-0.15699,0.06106,0.06106,-0.0517458,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0212558,0.0229674,0,0,0.00177225,0.0138335,0,1,0,1,0,0,0,0,-25.7022,-20,10
0.203,0.36,0.5,0,-0.0135871,0,-0.0135871,-0.246218,0.0101245,-0.105188,0.06106,0.06106,-0.0509355,2,0.00025,0.0616672,-0.0253264,-0.0250764,0.410174,-0.00025,0,0.0209234,0.0229511,0,0,0.00164987,0.0117613,0,1,0,1,0,0,0,0,-27.5122,-20,10
