time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.013,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,-0,1.56112e-28,0,1,1,1,0,0.004,0,0,0,0,0,0,0,0.004,0,0,-7.67461,-7.67461,3.8373
0.018,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-7.67461,-7.67461,3.8373
0.023,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.64384e-19,-1.36199e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.32228e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-7.67461,-7.67461,3.8373
0.027,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.64384e-19,-1.36199e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,4.16965e-32,1.56112e-28,0,1,1,1,0,0.018,0,0,0,0,0,0,0,0.018,0,0,-7.67461,-7.67461,3.8373
0.032,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.38193e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,7.23485e-32,1.56112e-28,0,1,1,1,0,0.023,0,0,0,0,0,0,0,0.023,0,0,-7.67461,-7.67461,3.8373
0.037,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.38193e-17,0.0373482,0.0373482,-0.0373482,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153264,0.0153264,0,0,2.0887e-15,-1.89126e-14,0,1,1,1,0,0.028,0,0,0,0,0,-1.84475e-13,0,0.028,0,0,-7.67461,-7.67461,3.8373
0.042,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153238,0,0,3.4595e-15,-3.495e-14,0,1,0,1,0,0,0,0,0,0,0,-3.3191e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.046,0.36,0.5,0,1.57392e-13,0,1.57392e-13,-1.37353e-12,0.000642101,-0.0115605,0.0373482,0.0373482,-0.0367061,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.015063,0.0153217,0,0,4.68605e-15,-4.5616e-14,0,1,0,1,0,0,0,0,0,0,0,-4.2345e-13,0,0,0,0,-8.13732,-8.13732,4.06866
0.051,0.36,0.5,0,1.9349e-05,0,1.9349e-05,0.000321398,-9.50446e-05,-0.0266513,0.0373482,0.0373482,-0.0374433,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153654,0.0153221,0,0,1.92525e-07,3.19796e-06,0,1,0,1,0,0,0,0,0,0,0,3.11933e-05,0,0,0,0,-9.04984,-9.04984,4.52492
0.056,0.36,0.5,0,-0.00017981,0,-0.00017981,-0.00321307,-9.50446e-05,-0.0266513,0.0373482,0.0373482,-0.0374433,2,0.01,0.0616672,-0.0253264,-0.0153264,0.410174,-0.01,0,0.0153654,0.0153226,0,0,-1.59853e-06,-2.88045e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000282483,0,0,0,0,-9.21689,-9.21689,4.60844
