time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,-0,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.21146e-19,-6.29022e-18,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,7.76671e-33,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.021,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,2.0144e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.026,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,4.32437e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,7.38802e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.035,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.03644e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,9.81698e-32,1.56112e-28,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.04,0.36,0.5,0,2.09916e-13,0,2.09916e-13,-1.90073e-12,-1.03644e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,2.0887e-15,-1.89126e-14,0,1,0,0,0,0,0,0,-12.1727,-12.1727,6.08636
0.045,0.36,0.5,0,1.39855e-13,0,1.39855e-13,-1.63069e-12,0.000642101,-0.0115605,0.0592381,0.0592381,-0.058596,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024063,0.0243238,0,0,3.4595e-15,-3.495e-14,0,1,0,0,0,0,0,0,-12.6354,-12.6354,6.31771
0.049,0.36,0.5,0,1.92785e-05,0,1.92785e-05,0.00032021,0.000642101,-0.0115605,0.0592381,0.0592381,-0.058596,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024063,0.0243217,0,0,1.53613e-07,2.55146e-06,0,1,0,0,0,0,0,0,-12.6203,-12.6203,6.31014
0.054,0.36,0.5,0,-0.000318406,0,-0.000318406,-0.00551333,0.000685265,0.0272447,0.0592381,0.0592381,-0.0585529,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0240453,0.024319,0,0,-3.01611e-06,-5.23324e-05,0,1,0,0,0,0,0,0,-10.8911,-10.8911,5.44554
0.059,0.36,0.5,0,-0.00126865,0,-0.00126865,-0.0171085,0.000685265,0.0272447,0.0592381,0.0592381,-0.0585529,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0240453,0.0243162,0,0,-1.56094e-05,-0.000222044,0,1,0,0,0,0,0,0,-11.4409,-11.4409,5.72046
0.064,0.36,0.5,0,-0.00202922,0,-0.00202922,-0.0273418,0.0181191,0.599556,0.0592381,0.0592381,-0.041119,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0168936,0.0242424,0,0,-3.56452e-05,-0.000491891,0,1,0,0,0,0,0,0,21.0956,20,-10
0.068,0.36,0.5,0,-0.00379307,0,-0.00379307,-0.047306,0.0181191,0.599556,0.0592381,0.0592381,-0.041119,0,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0168936,0.0241838,0,0,-6.55847e-05,-0.000864909,0,1,0,0,0,0,0,0,20.1482,20,-10
