timestamp,com_height,hip_angle_rad,knee_angle_rad,hip_torque,knee_torque,hip_effort,knee_effort
0.00511745,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0100865,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0150887,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0200642,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0250821,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0300866,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0350955,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0400827,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.04508,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0500776,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0550733,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0600783,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0650802,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.070079,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0750706,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0800756,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0850719,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0900671,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.0950747,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.100072,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.105067,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.110069,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.115061,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.120069,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.125072,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.130061,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.135075,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.140078,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.14509,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.150085,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.155114,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.160072,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.165065,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.170061,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.175105,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.180087,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.185089,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.190087,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.195077,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.200066,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.205058,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.210061,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.215093,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.220099,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.225064,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.23011,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.235114,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.240123,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.245116,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.250092,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.255086,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.260117,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.260141,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.265129,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.265155,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.27009,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.270102,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.275114,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.275126,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.280113,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.280134,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.285097,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.285115,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.290088,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.290097,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.295074,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.295084,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.300079,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.300088,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.305081,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.305093,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.310063,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.31007,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.315072,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.31508,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.320072,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.320079,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.32507,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.325078,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.33008,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.330093,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.335065,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.335074,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.34007,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.340079,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.345092,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.345105,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.350074,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.350085,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.3551,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
0.355106,0.5,0.250634,-0.366939,2.17894,-3.33485,0,0
