time,hip_axle_height,base_link_height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,experiment_mode,injected_com_y_bias,theta_eq_true,com_y_true,com_y_used,nominal_com_z,delta_y_true,delta_y_applied,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,adapt_state,delta_y_target,delta_y_apply_rate,filtered_x_accel,observation_window_range,capture_progress,verify_progress,target_updated,u_raw,u_model,tau_each
0.012,0.36,0.5,0,-0,0,-0,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,-0,1.56112e-28,0,1,1,1,0,0.004,0,0,0,0,0,0,0,0.004,0,0,-12.1727,-12.1727,6.08636
0.017,0.36,0.5,0,7.80561e-31,0,7.80561e-31,1.56112e-28,-1.16659e-19,-6.29022e-18,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,7.76671e-33,1.56112e-28,0,1,1,1,0,0.009,0,0,0,0,0,0,0,0.009,0,0,-12.1727,-12.1727,6.08636
0.022,0.36,0.5,0,1.56112e-30,0,1.56112e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,2.32228e-32,1.56112e-28,0,1,1,1,0,0.014,0,0,0,0,0,0,0,0.014,0,0,-12.1727,-12.1727,6.08636
0.026,0.36,0.5,0,2.34168e-30,0,2.34168e-30,1.56112e-28,-4.68871e-19,-1.36199e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,4.16965e-32,1.56112e-28,0,1,1,1,0,0.018,0,0,0,0,0,0,0,0.018,0,0,-12.1727,-12.1727,6.08636
0.031,0.36,0.5,0,3.12224e-30,0,3.12224e-30,1.56112e-28,-1.04093e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,7.23485e-32,1.56112e-28,0,1,1,1,0,0.023,0,0,0,0,0,0,0,0.023,0,0,-12.1727,-12.1727,6.08636
0.036,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,1.71734e-06,3.92191e-05,0,1,1,1,0,0.028,0,0,0,0,0,0.000382548,0,0.028,0,0,-11.9867,-11.9867,5.99337
0.04,0.36,0.5,0,0.000172594,0,0.000172594,0.00394156,-1.04093e-18,-2.38193e-17,0.0592381,0.0592381,-0.0592381,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0243264,0.0243264,0,0,3.07889e-06,7.03133e-05,0,1,1,1,0,0.032,0,0,0,0,0,0.000672353,0,0.032,0,0,-11.9867,-11.9867,5.99337
0.045,0.36,0.5,0,5.58429e-05,0,5.58429e-05,1.14777e-05,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243241,0,0,3.60391e-06,6.97279e-05,0,1,0,1,0,0,0,0,0,0,0,0.000633852,0,0,0,0,-10.9672,-10.9672,5.48361
0.05,0.36,0.5,0,-0.000660259,0,-0.000660259,-0.00941395,0.000561735,0.0211743,0.0592381,0.0592381,-0.0586764,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.024096,0.0243218,0,0,-3.00164e-06,-2.46363e-05,0,1,0,1,0,0,0,0,0,0,0,-0.000317501,0,0,0,0,-11.4138,-11.4138,5.70691
0.054,0.36,0.5,0,-0.00193613,0,-0.00193613,-0.0239046,0.00447033,0.134052,0.0592381,0.0592381,-0.0547678,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0224928,0.0243073,0,0,-1.8405e-05,-0.000214914,0,1,0,1,0,0,0,0,0,0,0,-0.00217028,0,0,0,0,-5.49207,-5.49207,2.74604
0.059,0.36,0.5,0,-0.0037393,0,-0.0037393,-0.0427705,0.00447033,0.134052,0.0592381,0.0592381,-0.0547678,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0224928,0.0242892,0,0,-5.54285e-05,-0.00063835,0,1,0,1,0,0,0,0,0,0,0,-0.00619467,0,0,0,0,-6.38826,-6.38826,3.19413
0.064,0.36,0.5,0,-0.00587314,0,-0.00587314,-0.0627437,0.0126187,0.281448,0.0592381,0.0592381,-0.0466194,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0191503,0.0242381,0,0,-0.000113316,-0.00125631,0,1,0,1,0,0,0,0,0,0,0,-0.0119202,0,0,0,0,1.91779,1.91779,-0.958896
0.068,0.36,0.5,0,-0.00751927,0,-0.00751927,-0.0786637,0.0126187,0.281448,0.0592381,0.0592381,-0.0466194,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.0191503,0.0241975,0,0,-0.000172327,-0.0018731,0,1,0,1,0,0,0,0,0,0,0,-0.017499,0,0,0,0,1.16077,1.16077,-0.580386
0.073,0.36,0.5,0,-0.00966944,0,-0.00966944,-0.0972182,0.04391,0.688293,0.0592381,0.0592381,-0.0153281,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00630408,0.0240195,0,0,-0.000266825,-0.0028218,0,1,0,1,0,0,0,0,0,0,0,-0.0258992,0,0,0,0,27.6346,20,-10
0.078,0.36,0.5,0,-0.0121811,0,-0.0121811,-0.118647,0.04391,0.688293,0.0592381,0.0592381,-0.0153281,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00630408,0.0238432,0,0,-0.000385374,-0.00397427,0,1,0,1,0,0,0,0,0,0,0,-0.0358775,0,0,0,0,26.6138,20,-10
0.083,0.36,0.5,0,-0.0144691,0,-0.0144691,-0.132839,0.0557233,0.59421,0.0592381,0.0592381,-0.00351487,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00144648,0.0236204,0,0,-0.000525509,-0.0052565,0,1,0,1,0,0,0,0,0,0,0,-0.0466347,0,0,0,0,23.5219,20,-10
0.087,0.36,0.5,0,-0.0159929,0,-0.0159929,-0.135904,0.0557233,0.59421,0.0592381,0.0592381,-0.00351487,2,0.001,0.0616672,-0.0253264,-0.0243264,0.410174,-0.001,0,0.00144648,0.0234437,0,0,-0.000648755,-0.00629751,0,1,0,1,0,0,0,0,0,0,0,-0.0550108,0,0,0,0,23.3687,20,-10
